cpuTime,gpuTime,cpuSpeedUp,matrixSize,compare
0.0304,0.611274,20.1077,32,1
0.030386,0.610167,20.0805,32,1
0.030426,0.609433,20.03,32,1
0.030393,0.609818,20.0644,32,1
0.094247,0.621336,6.59263,32,1
0.094335,0.61974,6.56957,32,1
0.094207,0.619977,6.58101,32,1
0.094206,0.6189,6.56965,32,1
0.094234,0.617008,6.54762,32,1
0.094217,0.618186,6.5613,32,1
0.458452,4.27923,9.33409,64,1
0.308038,4.27854,13.8896,64,1
0.332911,4.2781,12.8506,64,1
0.309008,4.27725,13.8419,64,1
0.23947,4.25333,17.7614,64,1
0.238022,4.22581,17.7539,64,1
0.237392,4.22557,17.8,64,1
0.237274,4.22583,17.8099,64,1
0.237923,4.22561,17.7604,64,1
0.252553,4.22758,16.7394,64,1
2.37494,29.0164,12.2177,128,1
2.37093,29.0164,12.2384,128,1
2.38218,28.8667,12.1178,128,1
2.37384,28.8684,12.161,128,1
6.12271,29.024,4.74039,128,1
2.37669,29.0155,12.2084,128,1
2.37617,29.0135,12.2102,128,1
2.37968,28.9827,12.1792,128,1
2.38043,28.715,12.0629,128,1
2.3806,28.7167,12.0628,128,1
20.5996,288.018,13.9817,256,1
21.1021,287.95,13.6456,256,1
20.6343,287.911,13.953,256,1
20.6266,287.906,13.958,256,1
20.6398,287.906,13.9491,256,1
20.6513,287.927,13.9424,256,1
20.6655,287.935,13.9332,256,1
20.6857,287.992,13.9223,256,1
20.7066,287.96,13.9067,256,1
20.7514,287.932,13.8753,256,1
201.132,2446.42,12.1632,512,1
187.194,2446.47,13.0692,512,1
201.05,2447.02,12.1712,512,1
201.927,2446.24,12.1145,512,1
199.545,2446.24,12.2591,512,1
210.997,2446.56,11.5952,512,1
197.008,2446.53,12.4185,512,1
201.515,2446.46,12.1404,512,1
193.205,2446.44,12.6624,512,1
193.589,2446.28,12.6364,512,1
3340.24,46104.3,13.8027,1024,1
3320.83,46091.9,13.8796,1024,1
3318.23,46100.1,13.893,1024,1
3318.12,46105.2,13.895,1024,1
3323.65,46094.1,13.8685,1024,1
3561.47,46093.8,12.9423,1024,1
3238.31,46096.8,14.2348,1024,1
3345.93,46094.8,13.7764,1024,1
3552.08,46098,12.9777,1024,1
3248.76,46095.1,14.1885,1024,1
